start_date,end_date,ndvi,region_id
2013-12-27T00:00:00.000Z,2014-01-03T00:00:00.000Z,0.679106282,93
2014-01-01T00:00:00.000Z,2014-01-08T00:00:00.000Z,0.701431243,93
2014-01-09T00:00:00.000Z,2014-01-16T00:00:00.000Z,0.74514903,93
2014-01-17T00:00:00.000Z,2014-01-24T00:00:00.000Z,0.747390798,93
2014-01-25T00:00:00.000Z,2014-02-01T00:00:00.000Z,0.768324561,93
2014-02-02T00:00:00.000Z,2014-02-09T00:00:00.000Z,0.75717171,93
2014-02-10T00:00:00.000Z,2014-02-17T00:00:00.000Z,0.77980989,93
2014-02-18T00:00:00.000Z,2014-02-25T00:00:00.000Z,0.765280472,93
2014-02-26T00:00:00.000Z,2014-03-05T00:00:00.000Z,0.761799059,93
2014-03-06T00:00:00.000Z,2014-03-13T00:00:00.000Z,0.722181785,93
2014-03-22T00:00:00.000Z,2014-03-29T00:00:00.000Z,0.745921045,93
2014-04-07T00:00:00.000Z,2014-04-14T00:00:00.000Z,0.796479848,93
2014-04-15T00:00:00.000Z,2014-04-22T00:00:00.000Z,0.813054273,93
2014-04-23T00:00:00.000Z,2014-04-30T00:00:00.000Z,0.81384115,93
2014-05-01T00:00:00.000Z,2014-05-08T00:00:00.000Z,0.792860156,93
2014-05-09T00:00:00.000Z,2014-05-16T00:00:00.000Z,0.821973712,93
2014-05-17T00:00:00.000Z,2014-05-24T00:00:00.000Z,0.825394722,93
2014-05-25T00:00:00.000Z,2014-06-01T00:00:00.000Z,0.811310418,93
2014-06-02T00:00:00.000Z,2014-06-09T00:00:00.000Z,0.799543257,93
2014-06-10T00:00:00.000Z,2014-06-17T00:00:00.000Z,0.80491167,93
2014-06-18T00:00:00.000Z,2014-06-25T00:00:00.000Z,0.79760821,93
2014-06-26T00:00:00.000Z,2014-07-03T00:00:00.000Z,0.816153495,93
2014-07-04T00:00:00.000Z,2014-07-11T00:00:00.000Z,0.785963674,93
2014-07-12T00:00:00.000Z,2014-07-19T00:00:00.000Z,0.763183075,93
2014-07-20T00:00:00.000Z,2014-07-27T00:00:00.000Z,0.769888948,93
2014-07-28T00:00:00.000Z,2014-08-04T00:00:00.000Z,0.783164291,93
2014-08-05T00:00:00.000Z,2014-08-12T00:00:00.000Z,0.788923605,93
2014-08-13T00:00:00.000Z,2014-08-20T00:00:00.000Z,0.794344467,93
2014-08-21T00:00:00.000Z,2014-08-28T00:00:00.000Z,0.802683399,93
2014-08-29T00:00:00.000Z,2014-09-05T00:00:00.000Z,0.78612835,93
2014-09-06T00:00:00.000Z,2014-09-13T00:00:00.000Z,0.797904464,93
2014-09-22T00:00:00.000Z,2014-09-29T00:00:00.000Z,0.797626982,93
2014-09-30T00:00:00.000Z,2014-10-07T00:00:00.000Z,0.771164919,93
2014-10-08T00:00:00.000Z,2014-10-15T00:00:00.000Z,0.791387601,93
2014-10-16T00:00:00.000Z,2014-10-23T00:00:00.000Z,0.763719108,93
2014-10-24T00:00:00.000Z,2014-10-31T00:00:00.000Z,0.772451506,93
2014-11-01T00:00:00.000Z,2014-11-08T00:00:00.000Z,0.712975351,93
2014-11-09T00:00:00.000Z,2014-11-16T00:00:00.000Z,0.752978442,93
2014-12-03T00:00:00.000Z,2014-12-10T00:00:00.000Z,0.770810129,93
2014-12-11T00:00:00.000Z,2014-12-18T00:00:00.000Z,0.728102169,93
2015-01-01T00:00:00.000Z,2015-01-08T00:00:00.000Z,0.73426087,93
2015-01-09T00:00:00.000Z,2015-01-16T00:00:00.000Z,0.743088317,93
2015-01-17T00:00:00.000Z,2015-01-24T00:00:00.000Z,0.789271137,93
2015-01-25T00:00:00.000Z,2015-02-01T00:00:00.000Z,0.77829325,93
2015-02-02T00:00:00.000Z,2015-02-09T00:00:00.000Z,0.764576065,93
2015-02-10T00:00:00.000Z,2015-02-17T00:00:00.000Z,0.758693056,93
